station,degree,trafic,line
ASSEMBLEE NATIONALE,1,1138571,12
OURCQ,1,3792001,5
SEGUR,1,1604694,10
BUTTES-CHAUMONT,1,507867,7bis
PALAIS-ROYAL,2,9385220,7
CHAMPS-ELYSEES-CLEMENCEAU,2,4617843,13
RUE DE LA POMPE,1,3138962,9
FRANKLIN D. ROOSEVELT,2,5878175,9
MALAKOFF-PLATEAU DE VANVES,1,3852053,13
BASILIQUE DE SAINT-DENIS,1,5393138,13
PORTE DE PANTIN,1,4675965,5
CHARLES MICHELS,1,4339534,10
QUATRE-9EMBRE,1,1758632,3
JASMIN,1,2115456,9
BOUCICAUT,1,3030137,8
CRETEIL-POINTE DU LAC,1,2384761,8
PORTE D'ITALIE,1,2486263,7
RUE DES BOULETS,1,2740221,9
JUSSIEU,2,4202204,10
SIMPLON,1,2994773,4
ECOLE VETERINAIRE DE MAISONS-ALFORT,1,3175166,8
ALESIA,1,5237657,4
PORTE D'ORLEANS,1,2261934,4
BOLIVAR,1,646310,7bis
LA COURNEUVE-8 MAI 1945,1,5536146,7
RICHARD LENOIR,1,1767814,5
ASNIERES-GENNEVILLIERS,1,5000000,13
EGLISE DE PANTIN,1,3693931,5
PELLEPORT,1,386605,3bis
BOTZARIS,2,951182,7bis
GARE D'AUSTERLITZ,2,8375268,10
FRONT POPULAIRE,1,1486925,12
SAINT-GEORGES,1,1279016,12
BIR-HAKEIM,1,8157090,6
MADELEINE,2,7475264,14
SAINT-MAUR,1,2960155,3
RANELAGH,1,2390818,9
CHAUSSEE D'ANTIN-LA FAYETTE,2,7600254,9
CHATEAU ROUGE,1,6874733,4
PORTE DE VANVES,1,4464578,13
PASSY,1,3908764,6
SAINT-FRANCOIS-XAVIER,1,1837976,13
VOLONTAIRES,1,2511126,12
VANEAU,1,964320,10
REPUBLIQUE,4,16953175,11
LOUIS BLANC,2,2489483,7bis
CHARDON-LAGACHE,1,651234,10
SAINT-AUGUSTIN,1,2994175,9
BOBIGNY-PANTIN-RAYMOND QUENEAU,1,2371008,5
DUGOMMIER,1,2674338,6
CORENTIN CARIOU,1,3178424,7
MAUBERT-MUTUALITE,1,2631728,10
ALEXANDRE DUMAS,1,3919412,2
BOURSE,1,3288142,3
BUZENVAL,1,1914564,9
DUPLEIX,1,3983127,6
MONCEAU,1,1654418,2
PRE-SAINT-GERVAIS,2,365930,7bis
CHATELET,4,13929657,14
BERAULT,1,2723583,1
DUROC,2,3339347,13
TERNES,1,3928660,2
MAIRIE D'IVRY,1,2907554,7
EGLISE D'AUTEUIL,1,183783,10
GAMBETTA,2,7445691,3bis
EXELMANS,1,2060188,9
SAINT-MICHEL,1,8797595,4
PORTE DE CHAMPERRET,1,3585658,3
RIQUET,1,2537863,7
LAMARCK-CAULAINCOURT,1,3154666,12
PONT DE LEVALLOIS-BECON,1,5100344,3
ECOLE MILITAIRE,1,4443503,8
PORTE DAUPHINE,1,2890496,2
SAINT-JACQUES,1,2070465,6
CRETEIL-UNIVERSITE,1,3395813,8
AVRON,1,1907820,2
INVALIDES,2,7283347,13
LEDRU-ROLLIN,1,3917141,8
BROCHANT,1,3492868,13
VAUGIRARD,1,3910263,12
VARENNE,1,1538258,13
VILLEJUIF-LOUIS ARAGON,1,5814857,7
TROCADERO,2,8973095,9
PHILIPPE AUGUSTE,1,1876528,2
STRASBOURG-SAINT-DENIS,2,9751180,9
ROME,1,2818857,2
RENNES,1,1297127,12
CENSIER-DAUBENTON,1,3777857,7
ANVERS,1,6888848,2
RICHELIEU-DROUOT,2,5362641,9
BOULOGNE-JEAN JAURES,1,3847782,10
SAINT-PAUL,1,6515486,1
SOLFERINO,1,2632023,12
FILLES DU CALVAIRE,1,1784167,8
PORTE DOREE,1,2702079,8
PIGALLE,2,6201914,12
BERCY,2,5473870,14
COUR SAINT-EMILION,1,5857110,14
TOLBIAC,1,3582639,7
ESPLANADE DE LA DEFENSE,1,9843051,1
MAIRIE DE MONTREUIL,1,6328612,9
LE KREMLIN-BICETRE,1,4428481,7
JOURDAIN,1,3462099,11
GARE DU NORD,2,49977513,5
